,Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,x,y,AOI,Target,Prediction
13240,10319.0,9273.0,8485.0,7320.0,20470.0,11430.0,7403.0,-72.25052352349942,2.0304332337451667,5686.0,3402.0,guaviare_20160125,coca,bosque
13265,9794.0,8689.0,8034.0,6780.0,19363.0,11526.0,7159.0,-72.41272073867765,1.9621047442044828,4383.0,3908.0,guaviare_20160820,coca,bosque
13289,10085.0,9046.0,8149.0,7043.0,18559.0,11160.0,7265.0,-75.93161575419637,1.3854090611742527,1325.0,8151.0,caqueta_20160311,coca,bosque
13326,10116.0,9067.0,8300.0,7205.0,19198.0,12692.0,7984.0,-71.8504718393745,2.280648297502638,8552.0,1550.0,guaviare_20160820,coca,bosque
13432,11063.0,9920.0,8862.0,7640.0,17161.0,10264.0,6823.0,-74.84433146222271,0.8806163107069612,9389.0,11872.0,caqueta_20160311,coca,bosque
13452,10276.0,9259.0,8556.0,7388.0,18927.0,11328.0,7179.0,-71.72922926452688,1.499027522468157,9563.0,7317.0,guaviare_20160125,coca,bosque
13507,10201.0,9172.0,8272.0,7193.0,18660.0,10540.0,7002.0,-72.46999321421453,1.958125654792515,4058.0,3938.0,guaviare_20160125,coca,bosque
13556,11082.0,9971.0,8896.0,7751.0,16880.0,10877.0,7254.0,-74.45953077691507,1.1286456131024465,12243.0,10044.0,caqueta_20160311,coca,bosque
13668,10431.0,9389.0,8786.0,7389.0,22637.0,11733.0,7374.0,-72.45628127125731,2.0249426339946694,4159.0,3445.0,guaviare_20160125,coca,bosque
13714,11550.0,10420.0,9322.0,8126.0,18681.0,11637.0,7533.0,-75.97395578966605,0.36202078398987053,3289.0,5053.0,putumayo_20160311,coca,bosque
13762,9946.0,8875.0,8224.0,7049.0,20915.0,13148.0,7961.0,-71.80693124453212,2.295320802986727,8875.0,1441.0,guaviare_20160820,coca,bosque
13769,10437.0,9479.0,8817.0,7821.0,17632.0,13572.0,9227.0,-75.40125198986819,1.7063666692937327,5259.0,5787.0,caqueta_20160311,coca,bosque
13774,12848.0,11823.0,10614.0,9496.0,18033.0,11745.0,8337.0,-75.29461211067071,0.7902265957946396,8329.0,1898.0,putumayo_20160311,coca,bosque
13858,13389.0,11955.0,10974.0,9753.0,21302.0,17880.0,11859.0,-75.76522975486104,0.8103850583855426,4838.0,1749.0,putumayo_20160311,coca,bosque
13893,9809.0,8742.0,7926.0,6982.0,13155.0,8113.0,6089.0,-71.84224068555305,2.224803813516323,8614.0,1962.0,guaviare_20160820,coca,bosque
13915,11790.0,10897.0,10737.0,10729.0,5009.0,7277.0,7837.0,-75.2510966083481,1.1769972371432134,6372.0,9688.0,caqueta_20160311,coca,bosque
13979,10079.0,9079.0,8514.0,7167.0,21045.0,10850.0,6953.0,-71.90996026854502,1.560542629045572,8220.0,6865.0,guaviare_20160125,coca,bosque
13996,10389.0,9322.0,8510.0,7363.0,19501.0,11145.0,7352.0,-72.31327240717096,2.052499854439856,5220.0,3240.0,guaviare_20160125,coca,bosque
14098,10367.0,9396.0,9157.0,7823.0,21823.0,13547.0,8176.0,-72.37149181150562,1.8729740082588653,4790.0,4565.0,guaviare_20160125,coca,bosque
14144,9635.0,8576.0,7820.0,6707.0,17945.0,10675.0,6932.0,-71.96530806949525,0.9811504332487948,7714.0,11141.0,guaviare_20160820,coca,bosque
14169,10587.0,9580.0,8737.0,7581.0,19988.0,11732.0,7512.0,-72.29583742417479,2.236555442409566,5347.0,1882.0,guaviare_20160125,coca,bosque
14214,10439.0,9355.0,8521.0,7321.0,20065.0,11738.0,7723.0,-75.86895636001864,1.4747191228592993,1790.0,7493.0,caqueta_20160311,coca,bosque
14235,9174.0,8056.0,8101.0,6168.0,25449.0,13252.0,7490.0,-71.9348014444011,1.5153177116800007,7936.0,7199.0,guaviare_20160820,coca,bosque
14249,9542.0,8465.0,8333.0,6711.0,22902.0,10973.0,6839.0,-71.68745510868925,1.3386903927243623,9775.0,8500.0,guaviare_20160820,coca,cana
14254,13688.0,13013.0,12613.0,12648.0,20961.0,17953.0,14649.0,-75.56274703055753,0.7735072915458291,6340.0,2021.0,putumayo_20160311,coca,bosque
14263,12445.0,11378.0,10222.0,9096.0,18809.0,11825.0,8155.0,-75.36565740877904,0.7849283525270515,7802.0,1937.0,putumayo_20160311,coca,bosque
