Costal,Blue,Green,Red,NIR,SWIR1,SWIR2,Longitude,Latitude,x,y,AOI,Target,Prediction
10304.0,9251.0,8361.0,7292.0,20213.0,11185.0,7260.0,-72.0799236190792,1.9798500976298519,6953.0,3773.0,guaviare_20160125,coca,coca
9540.0,8519.0,7763.0,6687.0,17873.0,11449.0,7290.0,-72.09184148654701,1.1528489372385458,6773.0,9875.0,guaviare_20160820,coca,coca
9817.0,8767.0,8178.0,6978.0,19089.0,11222.0,7207.0,-71.57755323401317,2.12464305035763,10581.0,2697.0,guaviare_20160820,coca,coca
10005.0,8996.0,8192.0,7122.0,18764.0,10772.0,7102.0,-71.99771022015585,1.4981952150270885,7569.0,7326.0,guaviare_20160125,coca,coca
11215.0,10307.0,9828.0,9001.0,20491.0,16432.0,10652.0,-75.31682684241694,1.6812768326319212,5885.0,5972.0,caqueta_20160311,coca,coca
10229.0,9180.0,8419.0,7268.0,19240.0,10834.0,7239.0,-72.12031718379635,1.3420873195754484,6660.0,8479.0,guaviare_20160125,coca,coca
10885.0,9782.0,8740.0,7585.0,18253.0,11015.0,7282.0,-75.65206460478996,0.06160818918750594,5677.0,7267.0,putumayo_20160311,coca,coca
12574.0,11968.0,12298.0,13274.0,14068.0,20293.0,17628.0,-75.29154416336439,1.1689865424282857,6072.0,9747.0,caqueta_20160311,coca,coca
9855.0,8787.0,7966.0,6920.0,17844.0,11607.0,7650.0,-71.95257868190711,2.2171775174019537,7795.0,2020.0,guaviare_20160820,coca,coca
10976.0,10001.0,9086.0,8080.0,16036.0,9905.0,7166.0,-71.55357660859588,2.12865322380578,10859.0,2667.0,guaviare_20160125,coca,coca
11349.0,10263.0,9694.0,8268.0,21877.0,14359.0,9000.0,-75.14488081075595,1.6480487981281222,7160.0,6217.0,caqueta_20160311,coca,coca
11143.0,10016.0,8973.0,7883.0,17784.0,11009.0,7225.0,-75.39042621064026,-0.00977087040889061,7618.0,7793.0,putumayo_20160311,coca,coca
11825.0,10686.0,9480.0,8388.0,15210.0,9795.0,7172.0,-75.2526692399811,0.4475661359616863,8640.0,4423.0,putumayo_20160311,coca,coca
11308.0,10190.0,9435.0,7962.0,22270.0,12204.0,7733.0,-75.15672735245008,1.35613943778603,7072.0,8368.0,caqueta_20160311,coca,coca
11133.0,10010.0,9245.0,7985.0,21284.0,12383.0,7804.0,-75.40247972024004,0.9632426562393762,5249.0,11263.0,caqueta_20160311,coca,coca
11221.0,10109.0,9167.0,8010.0,19022.0,11551.0,7587.0,-75.33443508351299,1.296546075108948,5754.0,8807.0,caqueta_20160311,coca,coca
11858.0,10719.0,9503.0,8457.0,16549.0,10868.0,7632.0,-75.68214043578033,0.4127993985508766,5454.0,4679.0,putumayo_20160311,coca,coca
11398.0,10352.0,9864.0,8504.0,21795.0,16143.0,9935.0,-75.22858434579668,1.2258540726749376,6539.0,9328.0,caqueta_20160311,coca,coca
11464.0,10363.0,9307.0,8119.0,18647.0,11347.0,7549.0,-75.91504573522182,0.2595793184400513,3726.0,5808.0,putumayo_20160311,coca,coca
